24	01/09/2023 07:47:09
16	01/09/2023 07:51:02
3	01/09/2023 07:51:10
1011	01/09/2023 07:51:17
15	01/09/2023 08:16:10
19	01/09/2023 08:16:28
24	01/09/2023 17:19:06
19	01/09/2023 17:25:03
16	01/09/2023 17:26:03
15	01/09/2023 17:26:27
1011	01/09/2023 17:40:38
3	01/09/2023 21:29:53
1011	02/09/2023 08:00:05
3	02/09/2023 08:00:20
24	02/09/2023 08:11:37
16	02/09/2023 08:21:58
15	02/09/2023 08:33:55
19	02/09/2023 08:43:17
19	02/09/2023 13:42:36
16	02/09/2023 13:43:10
24	02/09/2023 13:44:49
15	02/09/2023 13:45:16
1011	02/09/2023 17:58:40
3	02/09/2023 20:18:35
1011	03/09/2023 08:06:46
3	03/09/2023 08:06:52
1011	03/09/2023 17:35:58
3	03/09/2023 18:56:27
3	04/09/2023 07:40:55
16	04/09/2023 07:45:32
24	04/09/2023 07:46:52
19	04/09/2023 08:29:16
15	04/09/2023 08:29:23
26	01/09/2023 07:46:48
21	01/09/2023 08:11:07
30	01/09/2023 08:13:46
32	01/09/2023 08:18:02
25	01/09/2023 08:24:49
27	01/09/2023 08:24:53
20	01/09/2023 08:27:19
31	01/09/2023 08:27:25
8	01/09/2023 08:41:13
13	01/09/2023 08:43:53
14	01/09/2023 08:48:24
33	01/09/2023 09:31:37
33	01/09/2023 09:31:39
33	01/09/2023 16:36:25
30	01/09/2023 17:20:30
8	01/09/2023 17:25:51
32	01/09/2023 17:26:16
20	01/09/2023 17:27:05
27	01/09/2023 17:27:11
31	01/09/2023 17:27:22
25	01/09/2023 17:28:56
13	01/09/2023 17:29:28
26	01/09/2023 17:48:24
14	01/09/2023 17:50:21
21	01/09/2023 18:00:03
21	04/09/2023 08:13:27
30	04/09/2023 08:14:04
20	04/09/2023 08:15:40
32	04/09/2023 08:21:43
31	04/09/2023 08:24:02
27	04/09/2023 08:24:59
22	04/09/2023 08:26:42
25	04/09/2023 08:28:00
11	04/09/2023 08:40:12
13	04/09/2023 08:40:41
14	04/09/2023 08:42:06
8	04/09/2023 09:19:59
34	04/09/2023 09:21:19
33	04/09/2023 09:31:29
3	04/09/2023 17:20:09
24	04/09/2023 17:21:03
16	04/09/2023 17:21:08
15	04/09/2023 17:21:13
19	04/09/2023 17:26:03
3	05/09/2023 07:39:01
24	05/09/2023 07:40:45
16	05/09/2023 07:56:35
15	05/09/2023 08:15:55
19	05/09/2023 08:16:25
34	04/09/2023 17:08:32
30	04/09/2023 17:20:12
33	04/09/2023 17:25:03
8	04/09/2023 17:28:22
32	04/09/2023 17:28:27
27	04/09/2023 17:31:06
20	04/09/2023 17:31:09
31	04/09/2023 17:31:38
22	04/09/2023 17:31:50
21	04/09/2023 17:33:49
14	04/09/2023 17:34:24
11	04/09/2023 17:39:29
13	04/09/2023 17:45:11
25	04/09/2023 17:45:26
35	04/09/2023 17:48:21
21	05/09/2023 08:11:44
28	05/09/2023 08:18:59
22	05/09/2023 08:19:11
23	05/09/2023 08:19:16
27	05/09/2023 08:22:33
31	05/09/2023 08:22:53
32	05/09/2023 08:23:00
30	05/09/2023 08:23:47
14	05/09/2023 08:27:39
13	05/09/2023 08:32:55
25	05/09/2023 08:33:01
8	05/09/2023 08:33:34
11	05/09/2023 08:33:50
20	05/09/2023 08:37:28
17	05/09/2023 08:42:28
26	05/09/2023 08:54:14
34	05/09/2023 09:28:31
33	05/09/2023 09:29:48
35	05/09/2023 11:10:07
24	05/09/2023 17:07:33
19	05/09/2023 17:19:28
15	05/09/2023 17:19:40
16	05/09/2023 17:22:22
3	05/09/2023 17:34:15
16	06/09/2023 07:43:27
1011	06/09/2023 07:43:38
3	06/09/2023 07:43:53
24	06/09/2023 07:44:45
